Codice,Descrizione,Fonte_AS400,Quantita_AS400,Quantita_WebApp,Differenza,Status,Magazzino_Web,Stato,Ubicazione,Note
95413,ETICHETTA ELETTRONICA ID.TAG,Magazzino_28_Deposito,1103,1245,142,⚠️ WEBAPP +142,farmacia,"baia_uscita, in_magazzino","-, 15A",*Luparelli guaste da smaltire
95987,BATTERIA POTENZIATA PER PLUS95,Magazzino_27_Grossisti,17,66,49,⚠️ WEBAPP +49,grossisti,in_magazzino,1B,
95778,GUSCIO TERMINALE PLUS 95 2D,Magazzino_27_Grossisti,22,62,40,⚠️ WEBAPP +40,grossisti,in_magazzino,"1C, 1E, 1F",
95638,THINKCENTRE TINY IN ONE 24,Magazzino_28_Deposito,8,41,33,⚠️ WEBAPP +33,farmacia,"IN_PREPARAZIONE, SPEDITO, baia_uscita, in_magazzino, in_preparazione","-, 14E, 4E, 8c",*Giarrizzo | *Rotti | *rotto | Test Mov Multiplo 4 | test test
95803,FIREWALL WATCHGUARD T25,Magazzino_28_Deposito,19,39,20,⚠️ WEBAPP +20,farmacia,"BAIA_USCITA, IN_PREPARAZIONE, altro, baia_uscita, in_magazzino, in_preparazione",10D,*Farmacia Abate Luigi | *Farmacia Arrighi - Strongoli  | *Farmacia Catanoso | *Farmacia Clementi Torre Del Lago | *Farmacia Parise | *GUASTO (ufficio Mirko) | Farmacia Burruano | TEST | Test API | Test Mov Multiplo 4
95774,CARICABATTERIE 4 POS. PLUS 95 2D,Magazzino_27_Grossisti,15,29,14,⚠️ WEBAPP +14,grossisti,in_magazzino,"1A, 1C",
95637,THINKCENTRE TINY IN ONE 22,Magazzino_28_Deposito,8,21,13,⚠️ WEBAPP +13,farmacia,in_magazzino,"5A, 5E, 6E, 6a, 8D, 8E, 9F",
95633,CARICATORE_AUTO_ZEBRA_TC26,Solo_WebApp,0,12,12,⚠️ WEBAPP +12,farmacia,in_magazzino,5A,
95932,MONITOR LENOVO T24I-30,Magazzino_28_Deposito,3,12,9,⚠️ WEBAPP +9,farmacia,in_magazzino,"10F, 13E, 13F",
95952,WORKSTATION LENOVO P3,Magazzino_28_Deposito,5,12,7,⚠️ WEBAPP +7,farmacia,"DANNEGGIATO, in_magazzino, in_preparazione, laboratorio","15c, 2a, 4a, 5A, 5B",*Alzaia Pavese (sostituisce quella consegnata guasta) | *TEST EMI | TEST BBBBB
96219,PC LENOVO M720Q REFURBISHED,Magazzino_28_Deposito,11,17,6,⚠️ WEBAPP +6,farmacia,in_magazzino,10C,
95050,KIT STAMPA PER TOSHIBA B-FV4T,Magazzino_27_Grossisti,5,10,5,⚠️ WEBAPP +5,grossisti,in_magazzino,12E,
95871,DGFE PER EPSON FP81II E FP90III,Magazzino_28_Deposito,6,11,5,⚠️ WEBAPP +5,farmacia,in_magazzino,9B,
96075,MONITOR LENOVO C24-40,Magazzino_28_Deposito,12,17,5,⚠️ WEBAPP +5,farmacia,in_magazzino,"14C, 4C, 6d",
95183,LETTORE HONEYWELL XENON 1952G,Magazzino_28_Deposito,18,22,4,⚠️ WEBAPP +4,farmacia,in_magazzino,11D,
95711,FLASH_MEMORY_ITALRETAIL_XMRT1015,Solo_WebApp,0,4,4,⚠️ WEBAPP +4,farmacia,in_magazzino,9B,
94881,SWITCH D-LINK DSG-1100-08,Magazzino_28_Deposito,7,10,3,⚠️ WEBAPP +3,farmacia,"IN_MAGAZZINO, baia_uscita, in_magazzino","11C, 9F",Restituzione da modifica giacenza 1616 | San Paolo no offerta 
94911,ROT. TERMICO REG. CASSA (50 PZ.),Magazzino_28_Deposito,3,6,3,⚠️ WEBAPP +3,farmacia,"baia_uscita, in_magazzino",10B,*Farmacia Nigro 
95052,THIN_CLIENT_PRAIM_E9154,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,in_magazzino,11E,
95081,CASSETTO ITALRETAIL 33 NERO 6V,Magazzino_28_Deposito,8,11,3,⚠️ WEBAPP +3,farmacia,in_magazzino,15d,
